"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Memory_Ants.nlogox"
"1 гипотеза"
"06/08/2026 21:11:23:379 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","use-memory?","evaporation-rate","diffusion-rate","more-food?","[step]","total-food-count","count turtles","[length my-memory] of turtles"
"158","false","10","0","true","1000","230","13","[0 0 0 0 0 0 0 0 0 0 0 0 0]"
"159","false","10","0","true","1000","202","9","[0 0 0 0 0 0 0 0 0]"
"160","false","10","0","true","1000","193","10","[0 0 0 0 0 0 0 0 0 0]"
"161","false","10","0","false","1000","89","3","[0 0 0]"
"162","false","10","0","false","1000","86","0","[]"
"163","false","10","0","false","1000","70","1","[0]"
"164","false","10","0","false","1000","75","0","[]"
"165","false","10","0","false","1000","56","0","[]"
"166","false","10","0","false","1000","62","0","[]"
"167","false","10","0","false","1000","71","0","[]"
"84","false","10","50","false","1000","103","0","[]"
"168","false","10","0","false","1000","71","0","[]"
"169","false","10","0","false","1000","69","0","[]"
"170","false","10","0","false","1000","59","0","[]"
"171","false","10","0","false","1000","54","0","[]"
"172","false","10","0","false","1000","64","1","[0]"
"174","false","10","0","false","1000","50","0","[]"
"175","false","10","0","false","1000","65","0","[]"
"176","false","10","0","false","1000","88","0","[]"
"178","false","10","0","false","1000","63","1","[0]"
"177","false","10","0","false","1000","52","0","[]"
"179","false","10","0","false","1000","60","1","[0]"
"180","false","10","0","false","1000","78","2","[0 0]"
"181","false","10","0","true","1000","212","10","[0 0 0 0 0 0 0 0 0 0]"
"182","false","10","0","true","1000","190","10","[0 0 0 0 0 0 0 0 0 0]"
"183","false","10","0","true","1000","203","12","[0 0 0 0 0 0 0 0 0 0 0 0]"
"184","false","10","0","true","1000","203","11","[0 0 0 0 0 0 0 0 0 0 0]"
"185","false","10","0","true","1000","164","9","[0 0 0 0 0 0 0 0 0]"
"187","false","10","0","true","1000","170","7","[0 0 0 0 0 0 0]"
"186","false","10","0","true","1000","226","14","[0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"188","false","10","0","true","1000","228","11","[0 0 0 0 0 0 0 0 0 0 0]"
"189","false","10","0","true","1000","206","11","[0 0 0 0 0 0 0 0 0 0 0]"
"190","false","10","0","true","1000","259","15","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"191","false","10","0","true","1000","204","14","[0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"192","false","10","0","true","1000","184","7","[0 0 0 0 0 0 0]"
"193","false","10","0","true","1000","251","17","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"194","false","10","0","true","1000","187","11","[0 0 0 0 0 0 0 0 0 0 0]"
"195","false","10","0","true","1000","196","12","[0 0 0 0 0 0 0 0 0 0 0 0]"
"196","false","10","0","true","1000","172","9","[0 0 0 0 0 0 0 0 0]"
"197","false","10","0","true","1000","215","11","[0 0 0 0 0 0 0 0 0 0 0]"
"198","false","10","0","true","1000","220","13","[0 0 0 0 0 0 0 0 0 0 0 0 0]"
"199","false","10","0","true","1000","209","12","[0 0 0 0 0 0 0 0 0 0 0 0]"
"200","false","10","0","true","1000","226","13","[0 0 0 0 0 0 0 0 0 0 0 0 0]"
"201","false","10","0","false","1000","59","0","[]"
"202","false","10","0","false","1000","40","0","[]"
"203","false","10","0","false","1000","53","1","[0]"
"204","false","10","0","false","1000","56","1","[0]"
"206","false","10","0","false","1000","61","0","[]"
"205","false","10","0","false","1000","56","0","[]"
"207","false","10","0","false","1000","65","0","[]"
"208","false","10","0","false","1000","64","1","[0]"
"210","false","10","0","false","1000","65","1","[0]"
"209","false","10","0","false","1000","64","0","[]"
"211","false","10","0","false","1000","65","0","[]"
"212","false","10","0","false","1000","70","0","[]"
"213","false","10","0","false","1000","74","0","[]"
"214","false","10","0","false","1000","47","0","[]"
"215","false","10","0","false","1000","43","0","[]"
"216","false","10","0","false","1000","56","0","[]"
"217","false","10","0","false","1000","53","0","[]"
"218","false","10","0","false","1000","48","1","[0]"
"219","false","10","0","false","1000","64","0","[]"
"220","false","10","0","false","1000","70","0","[]"
"221","false","10","0","true","1000","213","7","[0 0 0 0 0 0 0]"
"222","false","10","0","true","1000","177","10","[0 0 0 0 0 0 0 0 0 0]"
"223","false","10","0","true","1000","210","10","[0 0 0 0 0 0 0 0 0 0]"
"224","false","10","0","true","1000","212","12","[0 0 0 0 0 0 0 0 0 0 0 0]"
"225","false","10","0","true","1000","191","7","[0 0 0 0 0 0 0]"
"226","false","10","0","true","1000","256","19","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"227","false","10","0","true","1000","223","12","[0 0 0 0 0 0 0 0 0 0 0 0]"
"228","false","10","0","true","1000","210","10","[0 0 0 0 0 0 0 0 0 0]"
"229","false","10","0","true","1000","215","11","[0 0 0 0 0 0 0 0 0 0 0]"
"230","false","10","0","true","1000","219","12","[0 0 0 0 0 0 0 0 0 0 0 0]"
"231","false","10","0","true","1000","246","15","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"233","false","10","0","true","1000","185","8","[0 0 0 0 0 0 0 0]"
"232","false","10","0","true","1000","209","12","[0 0 0 0 0 0 0 0 0 0 0 0]"
"234","false","10","0","true","1000","229","17","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"235","false","10","0","true","1000","199","9","[0 0 0 0 0 0 0 0 0]"
"236","false","10","0","true","1000","228","10","[0 0 0 0 0 0 0 0 0 0]"
"237","false","10","0","true","1000","221","12","[0 0 0 0 0 0 0 0 0 0 0 0]"
"238","false","10","0","true","1000","200","10","[0 0 0 0 0 0 0 0 0 0]"
"239","false","10","0","true","1000","229","14","[0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"240","false","10","0","true","1000","167","7","[0 0 0 0 0 0 0]"
